"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kennen","Top",12,"5.2%","15.5%","23.6%","17%","50%",27,47,38,1.4,"50.8%","24.7%","-","-","-","-","-","-",470,"24.9%","22.3%",0.51,0.14
"Kha'Zix","Jungle",45,"19.3%","7.3%","26.6%","60%","62%",138,87,226,4.2,"64.0%","18.8%","-","-","-","-",6.7,"-",307,"16.0%","18.3%",0.93,0.34
"Kled","Middle",2,"0.9%","8.6%","23.2%","0%","100%",1,7,9,1.4,"83.3%","19.4%","-","-","-","-","-","-",265,"15.3%","20.2%",0.48,0.09
"Kled","Top",32,"13.7%","8.6%","23.2%","50%","91%",65,56,179,4.4,"68.9%","15.6%","-","-","-","-",8.3,"-",325,"18.7%","22.8%",0.52,0.17
"Kog'Maw","ADC",67,"28.8%","41.6%","70.4%","60%","48%",269,138,316,4.2,"70.3%","20.0%","-","-","-","-",12.9,"-",631,"33.0%","25.2%",0.35,0.27
"LeBlanc","Middle",29,"12.4%","39.5%","51.9%","69%","44%",133,46,171,6.6,"69.2%","15.6%","-","-","-","-","-","-",555,"28.5%","23.0%",0.36,0.21
"Lee Sin","Jungle",46,"19.7%","13.3%","33.0%","50%","42%",88,125,328,3.3,"73.8%","24.0%","-","-","-","-","-","-",208,"11.0%","17.3%",1.1,0.3
"Leona","Support",3,"1.3%","0.0%","1.3%","67%","100%",2,7,22,3.4,"63.2%","23.3%","-","-","-","-","-","-",152,"7.5%","12.0%",1.61,0.44
"Lissandra","Top",1,"0.4%","0.0%","0.4%","0%","100%",1,5,7,1.6,"57.1%","38.5%","-","-","-","-","-","-",468,"25.0%","22.2%",0.52,0.1
"Lucian","ADC",3,"1.3%","11.6%","24.9%","67%","100%",16,6,17,5.5,"70.2%","17.1%","-","-","-","-","-","-",729,"32.2%","26.1%",0.35,0.36
"Lucian","Middle",27,"11.6%","11.6%","24.9%","30%","57%",61,62,120,2.9,"70.4%","16.2%","-","-","-","-","-","-",592,"29.9%","25.2%",0.36,0.33
"Lucian","Top",1,"0.4%","11.6%","24.9%","100%","100%",3,1,8,11,"64.7%","12.5%","-","-","-","-","-","-",417,"19.3%","21.0%",0.36,0.24
"Lulu","Middle",2,"0.9%","13.3%","30.9%","100%","-",5,3,18,7.7,"82.1%","60.0%","-","-","-","-","-","-",404,"28.3%","21.8%",0.37,0.25
"Lulu","Support",39,"16.7%","13.3%","30.9%","46%","38%",19,69,267,4.1,"71.0%","17.1%","-","-","-","-",0.5,"-",111,"6.4%","11.6%",1.36,0.37
"Malzahar","Middle",3,"1.3%","0.0%","2.1%","0%","67%",7,10,9,1.6,"94.1%","23.3%","-","-","-","-","-","-",526,"31.3%","23.9%",0.32,0.11
"Malzahar","Support",2,"0.9%","0.0%","2.1%","50%","-",5,11,11,1.5,"66.7%","47.8%","-","-","-","-","-","-",257,"15.4%","12.2%",1.27,0.27
"Maokai","Jungle",19,"8.2%","12.9%","34.3%","53%","11%",24,38,126,3.9,"71.8%","22.8%","-","-","-","-","-","-",305,"15.9%","15.6%",0.91,0.33
"Maokai","Top",31,"13.3%","12.9%","34.3%","58%","29%",44,68,210,3.7,"66.8%","19.1%","-","-","-","-",8.7,"-",442,"21.4%","19.0%",0.44,0.11
"Morgana","Support",3,"1.3%","0.4%","1.7%","33%","100%",1,7,22,3.3,"82.1%","22.6%","-","-","-","-","-","-",138,"8.4%","14.7%",1.33,0.34
"Nami","Support",2,"0.9%","0.0%","0.9%","50%","0%",1,2,19,10,"90.9%","8.3%","-","-","-","-","-","-",131,"8.8%","10.6%",1.37,0.42
"Nidalee","Jungle",9,"3.9%","4.7%","8.6%","44%","100%",23,24,65,3.7,"73.9%","19.7%","-","-","-","-","-","-",353,"17.0%","19.8%",0.88,0.54
"Nocturne","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Jungle",3,"1.3%","0.4%","2.1%","33%","100%",0,5,12,2.4,"100.0%","17.9%","-","-","-","-","-","-",77,"4.8%","15.5%",1.04,0.32
"Nunu & Willump","Support",1,"0.4%","0.4%","2.1%","0%","100%",1,3,4,1.7,"55.6%","20.0%","-","-","-","-","-","-",101,"7.4%","11.0%",1.42,0.37
"Olaf","Jungle",9,"3.9%","1.3%","5.6%","78%","100%",30,18,66,5.3,"65.3%","22.5%","-","-","-","-","-","-",277,"13.3%","17.7%",0.86,0.35
"Olaf","Top",1,"0.4%","1.3%","5.6%","100%","100%",2,2,7,4.5,"69.2%","22.2%","-","-","-","-","-","-",395,"18.7%","20.1%",0.46,0.15
"Orianna","Middle",53,"22.7%","18.5%","41.2%","40%","61%",130,109,296,3.9,"78.7%","17.6%","-","-","-","-",9.7,"-",521,"29.3%","24.4%",0.33,0.3
"Poppy","Top",5,"2.1%","0.0%","2.1%","40%","100%",8,18,24,1.8,"41.0%","18.9%","-","-","-","-","-","-",311,"14.2%","20.0%",0.53,0.07
"Rakan","Support",62,"26.6%","16.3%","42.9%","63%","49%",56,149,663,4.8,"81.1%","20.0%","-","-","-","-","-","-",164,"8.1%","12.7%",1.49,0.45
"Rek'Sai","Jungle",53,"22.7%","18.5%","41.2%","42%","53%",129,157,296,2.7,"68.9%","23.8%","-","-","-","-",7.6,"-",198,"10.6%","17.2%",1,0.45
"Renekton","Top",63,"27.0%","16.3%","43.3%","59%","53%",156,150,303,3.1,"54.6%","21.5%","-","-","-","-","-","-",374,"19.2%","22.6%",0.53,0.15
"Rengar","Jungle",17,"7.3%","3.0%","10.3%","35%","92%",47,55,75,2.2,"70.5%","24.4%","-","-","-","-",9.1,"-",265,"15.6%","19.3%",0.94,0.28
"Rumble","Top",55,"23.6%","27.5%","51.1%","53%","48%",151,175,322,2.7,"65.9%","25.6%","-","-","-","-",11.6,"-",592,"29.2%","21.4%",0.55,0.09
"Sejuani","Jungle",41,"17.6%","5.2%","22.7%","61%","70%",66,98,356,4.3,"75.5%","19.6%","-","-","-","-",6.5,"-",244,"12.1%","16.9%",1.03,0.39
"Shen","Top",35,"15.0%","18.5%","33.5%","43%","55%",58,69,207,3.8,"74.0%","18.1%","-","-","-","-","-","-",339,"17.4%","21.6%",0.51,0.1
"Sivir","ADC",3,"1.3%","0.9%","2.1%","0%","50%",10,8,8,2.3,"66.7%","19.5%","-","-","-","-","-","-",690,"35.3%","28.2%",0.35,0.28
"Skarner","Jungle",1,"0.4%","0.9%","1.3%","100%","0%",0,2,7,3.5,"77.8%","13.3%","-","-","-","-","-","-",69,"3.1%","16.9%",0.9,0.41
"Syndra","Middle",35,"15.0%","19.3%","34.3%","46%","72%",134,91,163,3.3,"69.4%","18.2%","-","-","-","-",10.8,"-",626,"31.5%","24.4%",0.35,0.23
"Tahm Kench","Support",56,"24.0%","12.9%","36.9%","57%","69%",35,133,370,3,"64.9%","23.8%","-","-","-","-",1.1,"-",125,"6.6%","11.9%",1.42,0.27
"Taliyah","Middle",52,"22.3%","41.6%","63.9%","48%","29%",157,108,330,4.5,"74.6%","16.6%","-","-","-","-","-","-",624,"31.4%","23.6%",0.41,0.23
"Talon","Middle",1,"0.4%","0.0%","0.4%","0%","-",5,2,4,4.5,"90.0%","11.8%","-","-","-","-","-","-",518,"26.3%","25.0%",0.59,0.22
"Taric","Support",8,"3.4%","0.4%","3.9%","38%","83%",2,20,48,2.5,"75.8%","21.5%","-","-","-","-","-","-",72,"4.5%","12.8%",1.21,0.24
"Thresh","Support",81,"34.8%","54.5%","89.3%","48%","13%",70,230,695,3.3,"74.9%","22.5%","-","-","-","-",1.6,"-",146,"7.5%","11.3%",1.47,0.4
"Tristana","ADC",34,"14.6%","5.2%","19.7%","47%","85%",147,68,142,4.3,"75.1%","16.2%","-","-","-","-",13.2,"-",649,"32.5%","26.5%",0.39,0.42
