"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Vladimir","Middle",5,"1.7%","9.8%","24.7%","60%","80%",17,10,24,4.1,"56.2%","18.9%","20%",-173,-46,-4,8.8,"27.0%",538,"28.6%","23.1%",0.34,0.14
"Vladimir","Top",36,"12.5%","9.8%","24.7%","44%","56%",119,91,163,3.1,"56.3%","19.0%","8%",-183,50,-2,8.4,"27.0%",504,"26.6%","22.8%",0.39,0.15
"Volibear","Support",14,"4.9%","3.5%","8.4%","29%","86%",10,54,90,1.9,"61.3%","24.9%","29%",-180,-267,1.9,1.9,"7.1%",132,"8.0%","10.0%",1.45,0.4
"Xayah","ADC",90,"31.4%","11.1%","42.5%","49%","54%",346,206,408,3.7,"63.2%","17.3%","19%",-110,-52,-0.5,10,"34.4%",506,"27.8%","27.9%",0.37,0.39
"Xerath","Middle",1,"0.3%","0.0%","0.3%","100%","100%",6,3,13,6.3,"95.0%","20.0%","-","-","-","-",9.1,"-",1303,"45.2%","24.2%",0.46,0.22
"Xin Zhao","Jungle",35,"12.2%","7.7%","19.9%","34%","49%",66,126,188,2,"60.3%","24.0%","51%",-12,-83,-2.6,4.6,"13.0%",228,"12.5%","16.1%",0.94,0.47
"Yasuo","ADC",1,"0.3%","12.2%","17.1%","0%","0%",2,7,5,1,"77.8%","31.8%","100%",-1581,-347,-43,6.5,"26.8%",206,"13.1%","20.1%",0.46,0.36
"Yasuo","Middle",11,"3.8%","12.2%","17.1%","55%","82%",38,41,60,2.4,"56.3%","25.9%","9%",-73,-31,-4.2,8.6,"27.5%",320,"18.1%","23.5%",0.37,0.17
"Yasuo","Top",2,"0.7%","12.2%","17.1%","0%","50%",3,8,4,0.9,"38.9%","19.5%","0%",-339,-278,-0.5,7.7,"24.9%",224,"15.2%","21.7%",0.41,0.19
"Yorick","Top",1,"0.3%","1.4%","1.7%","100%","0%",0,3,2,0.7,"40.0%","37.5%","0%",-573,-958,-22,8.3,"24.9%",300,"32.8%","21.2%",0.56,0.25
"Yuumi","ADC",2,"0.7%","53.7%","81.5%","50%","50%",5,5,27,6.4,"82.1%","15.6%","50%",-668,-308,-49,0.7,"3.9%",538,"24.1%","16.7%",1.03,0.28
"Yuumi","Support",78,"27.2%","53.7%","81.5%","49%","26%",77,133,649,5.5,"77.2%","13.6%","19%",17,156,-12.6,0.4,"1.5%",331,"17.8%","11.0%",1.24,0.23
"Zac","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",1,"0.3%","0.7%","1.4%","0%","100%",2,4,1,0.8,"42.9%","22.2%","0%",-308,-478,-1,7.6,"17.6%",440,"23.4%","20.2%",0.53,0.28
"Zed","Top",1,"0.3%","0.7%","1.4%","100%","0%",6,1,6,12,"42.9%","12.5%","0%",226,188,3,8.2,"23.1%",588,"21.2%","21.0%",0.45,0.34
"Zilean","Middle",1,"0.3%","0.3%","0.7%","0%","100%",2,3,5,2.3,"70.0%","23.1%","0%",-866,-281,3,8.8,"26.2%",303,"22.5%","22.7%",0.52,0.33
"Zoe","Middle",29,"10.1%","16.4%","27.5%","41%","59%",95,63,113,3.3,"65.8%","17.2%","24%",98,99,2,7.6,"21.4%",576,"30.4%","21.9%",0.41,0.18
"Zoe","Top",3,"1.0%","16.4%","27.5%","67%","100%",11,5,16,5.4,"73.0%","14.7%","0%",-69,-518,0,8,"24.3%",502,"27.0%","22.9%",0.53,0.28
